MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
11,190,12,13,15,71,38,66,14,107
11,190,13,12,15,70,40,67,16,108
10,191,13,13,15,71,40,66,15,109
11,190,13,11,16,70,40,66,16,108
12,191,14,13,16,70,40,67,15,108
11,189,12,11,15,71,38,66,15,109
11,190,14,12,16,70,39,66,15,108
12,190,13,12,15,70,40,66,16,108
10,190,12,11,14,70,39,66,14,108
11,190,14,12,16,70,40,66,15,108
12,190,13,13,15,70,38,67,16,107
11,188,13,12,15,70,39,66,15,108
10,190,13,12,14,71,39,66,14,108
11,190,14,12,16,71,40,66,16,108
10,191,12,11,15,71,40,67,15,108
11,190,13,11,16,70,40,67,16,108
11,190,12,13,15,71,38,67,14,108
11,191,13,13,15,71,40,67,15,109
11,189,13,12,15,70,39,66,15,108
10,190,13,11,15,70,38,67,15,108
11,190,13,12,16,70,40,66,16,108
10,190,13,12,15,70,38,66,15,108
12,190,14,12,16,70,40,66,15,108
11,191,13,12,15,70,40,67,15,108
11,191,14,12,16,70,39,66,15,108
11,191,13,13,15,71,40,67,15,108
10,190,12,11,15,70,40,67,15,108
11,190,13,13,15,71,38,66,14,107
11,190,14,11,15,70,40,66,15,108
11,191,13,12,16,71,40,66,16,108
11,191,13,13,16,71,39,67,15,109
11,190,14,12,16,71,39,67,15,108
10,190,12,12,14,70,39,66,14,108
11,191,13,12,16,70,40,66,17,108
10,191,14,13,15,70,40,67,15,108
11,191,14,12,16,71,39,66,15,108
11,190,13,11,15,70,39,66,16,108
10,191,13,13,15,72,40,67,15,109
11,190,13,12,16,70,39,66,15,108
11,190,14,12,16,70,39,67,16,108
10,190,13,12,14,71,38,67,15,108
10,190,13,12,15,70,39,66,14,108
11,188,13,12,15,70,39,66,15,108
10,190,13,11,15,70,39,66,16,108
11,191,14,12,16,71,39,66,15,108
11,191,13,11,15,70,39,67,15,108
11,190,14,13,15,70,39,67,15,108
11,189,14,12,16,69,40,66,14,108
11,190,13,12,14,70,39,66,14,108
11,190,13,12,16,70,38,66,15,108
10,190,12,11,15,71,38,67,15,108
11,190,13,12,15,71,39,66,15,107
12,190,13,11,14,70,40,66,14,107
11,190,14,12,15,71,39,66,15,108
10,191,13,12,16,71,40,67,15,109
11,190,14,13,16,70,41,68,15,108
10,191,14,13,16,70,38,67,15,108
10,190,13,12,15,70,39,65,15,108
11,190,13,11,15,70,39,66,14,108
11,190,13,11,15,70,39,66,15,108
11,189,13,12,15,70,39,66,15,108
10,190,12,11,15,71,38,66,15,109
11,190,13,11,15,70,39,65,15,108
10,190,13,12,15,70,39,66,15,108
11,190,13,12,15,71,39,66,14,108
11,191,14,13,16,71,40,67,15,108
11,191,14,12,16,71,40,66,14,108
10,191,13,13,16,71,39,67,16,108
11,191,13,12,15,70,40,65,14,107
11,190,13,11,15,70,39,66,15,108
10,190,12,12,14,70,39,66,14,108
11,190,13,12,14,71,39,67,15,108
10,190,13,12,14,70,41,67,16,107
10,189,13,12,14,71,39,66,14,107
11,190,13,12,16,71,39,66,16,108
11,191,13,13,16,71,40,66,15,108
11,189,13,11,15,70,39,66,15,108
11,190,13,12,15,71,39,66,14,107
11,189,13,12,14,69,39,65,15,108
10,190,14,13,15,70,38,67,15,108
10,190,13,12,16,70,40,66,15,108
11,190,13,12,15,71,39,67,16,108
11,190,13,12,16,70,40,65,15,108
10,190,13,12,15,71,39,67,15,108
10,190,13,11,15,71,39,66,16,109
11,190,13,12,14,70,39,66,14,108
11,190,14,12,16,70,40,66,16,108
11,190,13,12,15,70,39,66,15,106
10,191,13,13,15,71,39,67,15,108
10,190,12,12,15,70,39,66,15,108
11,190,15,12,15,71,40,66,16,108
10,191,13,13,15,71,39,67,14,108
11,190,13,12,15,71,39,66,15,108
11,190,14,12,14,71,40,66,15,108
11,190,14,12,15,71,40,66,15,108
12,189,11,12,15,70,39,66,15,108
10,191,14,12,14,71,40,68,14,108
10,191,13,12,16,70,40,66,16,108
12,190,13,12,15,71,39,66,14,108
11,190,13,11,15,70,39,66,15,108
12,190,14,12,15,71,39,66,15,108
10,189,13,11,15,70,38,66,15,109
11,190,13,12,16,70,40,65,15,107
10,189,12,11,14,70,39,66,15,107
11,190,13,12,16,70,40,66,16,107
11,191,14,12,16,71,39,67,15,108
12,190,13,13,15,70,38,66,15,108
12,188,12,11,15,70,40,66,16,107
10,190,12,11,14,70,39,67,15,107
