MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
57,109,79,34,144,158,312,166,113,182
57,109,79,34,144,157,312,165,113,181
57,110,79,35,144,158,311,166,113,182
57,110,79,36,144,156,312,165,113,183
56,109,79,34,144,157,312,165,113,182
57,109,79,34,144,158,311,165,113,182
57,109,80,34,143,157,311,166,113,182
58,110,80,34,144,158,312,166,113,182
56,108,79,34,144,158,311,165,113,181
58,108,79,36,144,157,311,166,113,182
58,109,79,34,144,158,311,166,113,182
58,109,79,35,144,158,312,166,113,182
57,110,79,34,144,158,312,166,112,182
58,109,80,34,144,158,312,166,113,182
57,110,80,37,145,158,312,165,113,182
57,109,79,33,145,157,311,165,113,182
57,110,80,34,144,158,313,165,113,182
57,111,79,35,144,157,313,165,112,182
57,109,78,35,144,158,312,166,113,182
57,109,79,34,143,158,311,165,112,181
57,110,79,35,144,157,311,166,113,182
56,109,79,35,145,158,311,166,113,182
57,109,79,35,144,158,311,166,113,182
57,109,79,34,144,158,311,166,112,182
56,109,79,35,144,157,311,165,113,181
57,109,79,34,144,158,312,166,113,182
56,108,78,34,143,157,310,166,112,181
57,110,79,34,144,157,311,166,113,182
57,110,79,35,144,158,312,166,113,183
56,108,78,34,143,157,311,165,113,182
56,109,79,34,144,157,312,166,113,182
58,109,79,34,144,158,311,166,113,182
56,109,79,34,143,158,311,166,113,182
57,110,80,34,144,158,312,166,113,182
56,108,78,33,143,157,311,165,112,182
58,109,78,34,144,158,311,166,112,182
58,109,79,34,144,158,312,166,112,182
57,109,79,34,144,157,311,165,113,181
57,109,79,34,144,158,311,166,112,182
57,111,79,35,143,157,311,166,113,183
56,110,78,34,143,157,312,166,112,182
57,109,79,34,143,158,311,166,113,182
57,109,79,33,143,158,311,166,112,182
57,108,80,33,144,158,311,166,113,182
56,109,79,34,144,157,311,166,112,181
56,109,78,34,142,158,310,165,113,181
57,110,79,34,144,157,312,165,112,182
56,111,80,35,145,158,312,166,114,182
56,108,78,35,144,157,312,165,114,183
57,109,79,35,144,158,312,166,113,182
57,110,78,34,143,157,311,165,112,182
57,109,79,34,145,157,311,166,112,182
57,110,79,35,144,157,312,165,113,182
57,109,79,35,144,158,311,165,113,182
57,110,79,35,144,158,312,166,114,182
56,109,78,33,143,157,310,166,112,182
57,109,79,35,144,158,311,166,113,182
58,109,80,34,144,158,312,166,113,182
57,109,79,33,143,158,311,166,113,181
57,110,79,34,144,158,312,166,112,183
56,108,79,34,144,157,312,166,113,182
57,110,79,34,143,157,313,165,113,182
56,108,79,34,144,157,311,165,112,182
57,108,78,34,144,157,311,166,112,182
58,110,80,35,144,158,311,166,113,182
57,110,79,34,144,157,311,167,113,183
57,110,79,35,144,158,313,166,113,183
57,110,79,35,145,158,312,166,113,182
57,109,79,33,144,157,311,165,113,182
57,109,79,34,144,157,312,165,113,183
57,109,79,34,144,158,313,166,112,182
55,109,78,34,144,157,310,165,112,182
58,109,79,34,144,158,312,166,113,183
57,109,80,35,145,158,313,166,113,182
57,109,80,35,144,158,312,166,113,183
57,109,79,34,144,158,311,166,112,182
57,108,79,35,144,158,311,166,113,182
56,109,79,34,144,158,311,166,113,182
56,110,79,34,144,157,311,166,113,181
57,109,79,33,144,157,311,166,112,181
57,110,79,35,143,158,312,166,113,183
57,108,78,34,143,157,311,165,113,182
58,109,77,34,144,158,312,166,114,182
57,109,79,34,144,158,312,166,113,182
57,110,79,35,144,158,311,165,113,182
57,110,79,34,144,158,312,169,113,182
57,111,79,34,143,158,312,165,114,182
57,109,79,34,143,157,312,166,113,182
58,109,79,34,144,158,311,166,112,182
56,109,78,32,144,158,311,165,113,182
56,109,79,34,144,158,311,165,113,181
57,109,79,34,145,157,312,166,112,182
57,110,78,34,143,157,311,166,113,182
56,108,79,33,144,157,312,166,113,182
57,110,79,34,145,158,312,166,113,183
56,108,78,34,144,157,312,166,113,182
57,109,79,34,144,157,312,166,112,182
57,110,78,35,144,158,312,165,113,182
57,110,79,35,144,158,312,166,113,182
58,110,79,34,144,158,312,166,113,180
57,109,79,34,144,158,312,166,113,182
57,109,79,34,144,158,311,166,113,182
57,109,79,34,143,157,312,166,112,182
58,109,79,35,143,157,312,166,112,182
57,110,79,35,144,157,312,165,113,182
57,109,78,34,144,158,312,165,112,182
56,110,78,35,144,158,312,166,113,182
57,109,79,33,144,157,311,166,113,181
57,109,79,34,144,158,312,166,111,181
57,109,78,35,143,158,311,166,113,183
58,109,79,34,144,157,311,165,113,182
57,110,79,34,144,159,313,166,113,183
57,109,79,34,144,158,312,165,112,182
57,110,79,34,144,160,312,166,113,182
57,109,79,34,144,158,312,165,113,182
57,109,79,35,144,158,312,166,113,182
56,110,79,35,144,158,311,166,113,183
56,109,79,35,144,158,312,166,113,183
56,111,79,34,144,157,312,165,113,182
58,110,79,34,144,158,312,166,113,183
57,109,78,34,144,157,312,166,113,180
57,109,80,34,144,159,313,166,113,182
57,110,79,35,143,158,312,166,113,182
58,109,79,33,144,158,312,166,112,182
57,109,79,33,144,157,312,166,113,182
56,109,79,34,144,158,312,166,113,183
58,110,80,35,144,158,312,166,113,182
57,110,79,34,144,157,311,166,113,181
57,109,79,34,144,158,311,166,111,182
57,109,79,34,144,157,312,166,113,182
57,110,79,34,144,157,311,166,113,182
57,110,79,34,144,158,312,166,113,183
57,110,79,34,144,157,312,165,112,182
57,109,78,34,144,157,311,165,114,182
57,109,79,34,144,157,311,166,112,182
56,109,79,34,143,157,311,165,112,181
57,109,79,34,144,158,312,166,113,183
57,110,79,35,144,158,311,166,113,182
56,109,80,35,144,158,312,166,113,182
56,109,79,34,142,157,312,166,113,182
57,111,80,35,144,158,312,166,113,182
57,110,79,34,144,158,311,165,112,182
58,109,79,35,144,158,312,166,112,183
57,110,79,33,144,157,312,165,112,182
57,110,79,34,144,158,312,166,114,182
57,109,78,34,144,158,311,166,113,182
58,110,80,34,144,157,312,166,113,183
57,109,80,35,144,157,311,166,113,183
57,109,79,34,144,157,312,166,113,183
57,110,79,34,143,157,312,166,113,184
57,110,79,35,144,157,312,166,113,183
56,110,79,34,144,156,312,165,114,183
57,111,80,34,144,157,313,166,113,184
57,110,79,34,144,156,312,166,112,183
57,111,79,35,144,157,312,166,112,183
56,111,79,34,144,157,311,165,113,183
56,110,80,34,143,157,312,166,112,183
56,109,79,35,144,157,311,166,113,182
58,111,79,35,144,157,313,166,113,183
57,111,79,35,144,157,313,166,113,184
57,111,79,35,144,157,313,167,113,184
56,111,79,35,144,157,313,166,113,184
58,109,79,35,144,158,311,167,113,184
58,111,79,35,144,158,313,166,114,184
57,111,80,35,144,158,313,166,114,184
57,111,79,35,144,158,312,166,114,183
56,111,80,34,144,157,313,166,113,184
57,112,79,35,144,158,313,165,113,184
57,110,79,34,144,157,311,166,113,183
57,110,79,34,144,158,313,167,113,184
57,111,80,34,144,157,313,166,113,184
57,112,79,34,144,158,315,166,113,184
58,111,79,34,144,158,313,166,113,183
57,112,80,34,144,157,314,166,114,183
57,112,80,35,144,158,314,167,114,183
57,111,80,34,144,157,314,166,114,183
57,111,79,34,144,157,314,166,114,183
57,110,79,34,144,157,312,167,113,181
57,111,79,34,144,157,312,166,114,184
57,112,79,35,144,158,314,166,114,184
57,112,80,35,144,158,314,167,114,184
58,111,79,34,144,158,313,166,113,183
59,112,79,34,143,158,314,166,114,183
57,112,80,34,143,158,313,166,113,184
57,111,79,35,144,158,313,166,113,184
57,112,79,34,144,158,313,166,113,184
56,111,78,35,144,157,313,166,114,183
57,112,79,35,144,158,314,166,114,185
58,112,79,35,144,159,315,167,113,184
57,111,79,34,144,158,314,166,113,184
56,112,80,34,144,158,315,166,112,184
57,111,79,34,143,157,313,166,113,184
