MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
20,224,15,15,18,94,82,82,13,128
21,224,14,16,18,94,81,85,14,128
20,225,15,16,17,93,81,81,13,127
20,224,14,17,18,93,81,83,14,127
20,223,14,16,17,93,80,83,13,128
21,225,15,16,18,93,81,82,14,128
20,224,14,16,17,92,81,82,13,127
20,221,13,16,17,93,82,83,13,128
20,223,14,16,17,93,80,83,13,128
21,225,14,16,18,93,81,83,13,127
20,224,14,16,18,94,81,82,13,128
20,224,14,15,18,93,80,83,12,128
19,224,14,16,18,93,81,83,13,128
19,224,14,15,18,93,81,83,13,128
21,226,14,16,18,94,81,83,13,127
20,224,14,16,17,94,80,82,13,128
20,224,14,16,18,93,82,84,13,128
20,225,11,16,17,93,80,82,13,126
20,224,14,16,17,92,81,82,14,128
20,225,15,16,17,92,81,82,14,127
21,224,15,16,17,93,81,83,14,128
20,226,14,16,18,93,82,83,14,128
20,225,14,16,17,93,82,82,14,128
20,225,14,17,18,94,81,84,14,128
21,225,14,16,18,94,81,83,13,128
21,224,14,16,17,93,80,84,14,128
21,224,13,16,18,94,82,83,14,128
21,224,14,16,18,94,82,83,14,128
19,224,14,16,17,93,80,82,13,128
21,224,14,16,18,93,82,83,14,128
21,226,15,16,18,94,81,83,14,127
26,223,13,15,17,93,81,82,14,128
20,224,14,16,17,93,81,82,13,128
20,226,14,16,17,94,81,82,14,128
21,224,14,16,18,94,81,82,14,128
20,224,14,16,18,93,82,83,13,128
21,225,14,16,17,93,81,82,13,128
20,225,13,16,17,93,80,83,13,127
20,224,14,15,17,93,81,79,14,127
21,226,14,16,17,94,81,82,14,127
20,224,13,16,18,92,82,82,14,128
20,223,13,16,18,93,82,83,14,127
21,226,14,15,18,93,81,81,13,128
21,224,14,16,17,93,80,82,13,127
20,224,14,16,18,93,81,83,13,128
20,226,15,16,18,93,82,82,13,128
20,223,14,16,17,93,80,82,13,128
22,224,14,17,17,93,81,82,13,127
21,224,14,16,18,93,80,83,13,128
20,225,14,16,18,93,82,83,13,128
22,224,14,16,17,94,81,82,13,128
20,224,14,16,17,93,82,82,14,128
22,226,14,16,18,94,82,83,13,128
21,224,14,16,17,93,81,82,13,128
20,225,11,16,19,93,81,83,14,128
20,224,14,15,18,93,81,83,14,128
19,224,15,16,17,93,81,82,12,128
20,224,14,16,18,93,81,83,13,128
21,225,14,16,18,94,81,83,13,128
20,224,14,16,17,93,81,82,14,128
20,224,14,15,18,94,81,83,13,128
20,224,14,16,17,93,82,83,13,128
21,224,14,16,17,94,81,83,13,128
21,225,14,16,18,93,81,83,14,127
20,224,14,16,18,92,81,82,13,128
24,224,14,15,17,93,81,82,13,128
20,224,11,16,18,93,80,82,13,128
20,225,15,16,18,93,81,83,13,128
20,225,14,16,18,93,82,83,13,128
20,226,14,16,18,93,82,83,13,128
20,224,14,16,17,94,81,83,14,128
21,226,15,16,18,94,81,83,13,128
21,225,14,17,17,94,81,82,13,128
21,225,13,15,18,94,82,82,14,128
20,224,15,13,17,92,81,82,13,128
21,226,15,16,19,93,81,83,14,128
21,225,15,16,18,93,80,81,12,128
20,224,13,12,17,93,81,83,14,129
20,225,12,17,18,93,82,83,13,128
20,225,14,16,18,93,80,84,13,128
20,224,13,15,18,94,80,83,13,128
21,226,14,16,18,93,81,82,13,128
20,225,14,17,18,93,80,82,13,128
21,226,14,16,18,93,82,83,14,127
20,225,14,15,18,93,80,82,13,128
21,225,15,16,18,93,80,83,13,128
20,225,15,16,17,93,81,83,13,128
21,225,14,16,18,94,81,82,14,129
17,226,15,16,18,93,82,83,14,128
21,225,15,16,18,93,81,82,14,128
21,225,14,16,18,94,81,83,13,128
20,224,14,15,16,94,81,82,13,128
20,226,14,16,18,92,81,83,14,127
21,225,14,15,18,93,80,82,13,128
21,225,14,16,18,94,81,82,13,127
20,225,14,16,17,93,81,82,14,127
20,225,14,16,18,93,80,82,14,128
20,225,14,16,17,93,81,82,13,128
20,225,16,16,17,94,81,82,14,128
20,224,14,16,18,92,81,82,13,128
21,225,14,16,18,93,81,83,13,128
22,225,14,16,18,94,81,82,14,128
21,225,14,15,17,94,81,83,14,127
21,224,14,16,17,93,82,83,14,128
20,225,14,16,17,93,81,82,13,127
21,225,15,16,18,93,81,83,14,128
21,224,15,16,18,93,81,83,14,128
22,225,14,16,17,93,81,82,14,128
21,225,14,16,18,93,81,83,14,128
20,224,14,15,18,92,81,84,13,128
22,226,14,16,17,94,80,83,14,129
20,225,14,16,18,94,81,84,13,128
19,225,15,15,18,93,81,83,14,127
21,224,15,16,19,94,82,84,14,129
20,225,14,17,18,93,81,83,14,128
20,225,13,16,17,92,80,83,14,128
19,225,14,16,17,92,82,84,14,129
20,225,15,16,18,93,81,84,14,128
20,224,13,16,17,93,80,83,14,128
19,224,14,15,17,93,81,83,14,128
20,226,14,16,18,92,82,83,14,129
20,225,15,16,18,93,81,84,13,128
20,225,14,15,17,93,81,84,14,128
20,226,15,16,18,93,81,83,14,128
21,226,14,16,18,92,82,84,13,128
21,225,15,16,18,93,81,83,14,128
19,225,14,16,18,93,81,83,14,129
20,226,15,16,18,93,82,83,14,129
20,224,14,15,18,92,80,83,14,128
20,225,15,16,17,93,81,83,14,128
20,226,14,17,18,94,82,83,14,128
21,225,14,16,18,94,81,84,13,128
20,226,14,17,17,93,82,84,14,128
19,225,15,16,17,93,81,84,13,128
20,225,14,16,17,93,81,84,14,128
20,225,14,15,18,94,81,83,14,128
19,226,14,16,18,93,83,84,14,128
20,225,15,16,18,93,81,85,14,128
20,226,14,17,19,93,82,83,14,129
20,226,15,16,18,93,82,84,13,129
20,225,16,15,19,93,81,83,13,129
20,226,14,16,17,93,82,84,13,129
20,226,14,16,18,92,82,84,14,129
19,226,15,16,18,92,81,83,14,130
19,226,15,16,18,92,82,84,14,130
20,225,14,15,17,91,81,84,13,129
20,225,15,16,19,93,81,84,14,129
19,226,15,14,18,92,84,83,14,130
20,225,14,16,18,93,81,83,13,130
