MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
52,127,71,35,127,205,340,183,118,190
52,127,72,35,126,205,340,183,118,190
52,126,72,36,127,205,340,182,118,189
51,126,71,35,127,205,340,183,118,189
52,126,71,35,126,204,339,182,118,190
53,126,72,35,127,204,340,183,118,190
52,126,70,35,126,204,339,182,117,189
51,126,70,34,127,204,339,181,118,189
51,127,71,36,128,205,340,182,118,189
52,126,72,35,126,205,340,182,118,189
52,126,70,35,126,204,339,182,118,189
52,127,71,36,127,205,340,182,118,190
52,127,72,35,126,205,339,182,118,189
52,126,70,35,127,204,340,182,118,189
53,126,70,34,127,204,339,182,118,189
52,126,72,36,126,206,339,182,118,189
52,126,71,35,126,204,340,181,118,189
52,126,71,34,127,204,340,182,118,189
52,126,72,36,127,205,339,182,118,189
52,127,72,36,127,205,339,182,118,190
52,127,72,36,128,205,340,182,118,189
51,126,71,35,127,205,340,181,118,189
53,127,72,35,127,205,339,182,118,189
52,126,71,35,125,204,339,182,118,189
52,126,71,36,126,205,338,181,117,189
51,126,70,35,127,205,340,182,118,189
52,127,72,36,127,204,340,181,118,188
52,125,71,35,126,205,340,182,118,190
51,125,71,35,126,204,339,181,118,189
51,126,70,35,126,204,339,181,117,189
53,127,72,35,128,205,339,182,118,189
52,126,71,35,126,205,340,182,118,189
51,126,71,34,126,205,340,181,118,189
52,125,71,35,126,204,340,182,118,190
51,126,72,34,127,204,340,182,118,190
52,126,71,34,126,205,339,182,118,189
52,127,72,36,127,206,339,182,118,189
53,126,71,35,127,204,339,181,117,189
52,127,72,35,128,205,340,183,118,189
52,126,70,34,126,204,339,181,117,188
51,126,70,34,126,204,339,181,118,189
53,126,71,34,126,204,339,181,118,189
51,125,71,35,126,204,339,182,117,189
52,125,71,35,126,204,339,182,117,188
52,127,71,36,127,205,339,181,118,189
51,126,70,35,126,203,339,181,118,189
52,126,71,35,126,204,339,181,118,189
52,126,70,35,126,204,339,182,117,189
53,127,72,36,126,205,339,182,117,189
52,125,69,35,126,204,339,181,118,188
52,126,71,36,126,204,339,181,117,189
52,126,70,36,127,204,339,182,118,189
52,126,70,35,126,204,339,182,118,189
52,126,71,36,126,204,339,182,119,188
52,126,71,36,126,204,338,181,117,189
52,126,71,35,126,204,339,180,118,188
52,127,71,35,126,204,339,181,117,189
52,126,71,35,126,203,339,182,117,189
52,126,71,35,126,204,339,182,119,189
52,127,71,36,127,205,339,181,118,189
53,126,70,36,126,204,338,181,117,189
52,126,71,35,127,204,338,181,118,189
52,125,71,35,126,203,339,181,117,188
52,125,71,34,126,204,338,182,117,188
52,126,71,35,127,204,339,182,117,189
51,126,70,35,126,203,339,181,118,189
53,126,72,35,126,204,341,182,117,188
51,125,71,35,126,204,339,182,117,189
52,125,70,35,125,204,338,181,117,188
51,126,71,35,126,204,339,182,118,190
51,126,71,35,127,204,340,181,117,190
52,126,71,35,128,205,340,182,118,188
52,126,70,34,125,204,338,181,117,188
53,126,72,35,126,204,338,181,117,189
52,125,70,34,126,204,337,181,117,188
51,126,71,36,125,204,338,181,118,188
51,125,70,35,126,203,338,181,117,188
52,126,72,35,126,204,339,182,118,189
52,126,71,35,126,204,338,182,117,189
52,125,72,35,126,204,337,181,117,188
52,126,71,34,126,204,338,181,117,187
52,125,71,36,126,204,339,182,117,189
52,126,71,36,126,204,338,182,118,189
52,125,71,36,125,204,338,181,117,189
53,126,72,35,126,204,338,181,118,188
52,126,70,36,126,204,338,180,118,189
51,126,70,34,125,203,337,181,117,188
52,125,71,35,126,203,338,182,117,188
52,126,72,34,125,204,338,182,117,188
52,125,71,35,125,204,338,180,117,188
51,126,70,35,126,204,338,181,117,189
51,126,71,34,126,203,338,181,117,188
51,125,71,35,125,203,337,181,117,188
52,125,71,35,126,204,338,181,117,188
52,126,70,35,126,204,338,181,118,188
52,125,70,35,125,203,338,181,117,187
52,126,71,36,128,204,338,181,117,188
52,126,71,35,126,203,338,181,117,188
52,125,70,35,126,203,338,182,117,189
52,125,71,35,125,203,338,181,117,188
51,125,71,35,122,204,338,181,117,188
51,125,70,34,125,204,337,180,117,188
52,125,70,35,125,204,338,181,117,188
52,126,70,35,126,203,337,181,117,187
53,125,71,35,126,204,337,181,117,188
51,125,71,34,126,203,337,181,117,188
52,125,70,34,125,204,338,180,117,188
52,126,71,35,126,204,339,181,117,188
51,125,70,35,125,203,338,180,117,187
52,126,71,37,127,204,338,180,117,188
52,125,71,35,127,203,339,181,118,189
51,125,71,35,126,203,338,181,118,189
51,125,71,35,126,204,338,181,117,188
52,125,71,36,126,203,337,181,117,188
51,124,70,35,126,203,338,181,117,188
52,126,71,36,126,203,338,181,117,188
52,125,71,35,126,204,338,181,117,189
53,126,71,35,126,204,338,182,117,188
52,126,71,36,127,204,338,181,118,188
52,126,70,36,125,204,337,180,117,187
52,125,71,36,126,204,339,181,118,188
52,125,71,36,126,204,338,181,117,188
52,126,70,35,126,203,338,180,117,188
52,126,70,34,125,203,338,180,117,187
51,124,71,35,126,203,338,181,116,188
53,126,70,35,125,204,337,180,117,188
52,126,70,35,126,204,337,180,116,188
52,126,72,36,126,204,338,181,117,189
52,126,71,36,126,204,337,180,117,187
52,125,71,35,125,203,338,180,117,188
51,125,70,34,126,204,338,181,117,188
51,124,71,35,126,203,338,180,117,188
52,125,71,35,126,203,337,179,116,187
51,125,71,35,126,203,338,181,117,189
52,125,70,36,124,204,337,180,118,188
51,124,70,36,125,203,338,181,117,188
52,124,70,35,126,203,338,181,117,188
51,126,70,36,125,203,337,180,116,187
52,125,71,35,126,203,337,181,117,188
